COMMAND,ZIPREF,ZIPCODE
"-z",32608,32608
"-z",32643,32643
"-z",32656,32656
"-z",32667,32667
"-z",32712,32712
"-z",32713,32713
"-z",32725,32725
"-z",32750,32750
"-z",32763,32763
"-z",32763,32763
"-z",32765,32765
"-z",32765,32765
"-z",32766,32766
"-z",32771,32771
"-z",32779,32779
"-z",32810,32810
"-z",32810,32810
"-z",32817,32817
"-z",32817,32817
"-z",32818,32818
"-z",32819,32819
"-z",32824,32824
"-z",32824,32824
"-z",32824,32824
"-z",32824,32824
"-z",32826,32826
"-z",32829,32829
"-z",32839,32839
"-z",32904,32904
"-z",32905,32905
"-z",32908,32908
"-z",32909,32909
"-z",32909,32909
"-z",32922,32922
"-z",32935,32935
"-z",32955,32955
"-z",32966,32966
"-z",32967,32967
"-z",33020,33020
"-z",33021,33021
"-z",33025,33025
"-z",33027,33027
"-z",33050,33050
"-z",33062,33062
"-z",33063,33063
"-z",33063,33063
"-z",33063,33063
"-z",33066,33066
"-z",33073,33073
"-z",33138,33138
"-z",33145,33145
"-z",33156,33156
"-z",33156,33156
"-z",33157,33157
"-z",33160,33160
"-z",33165,33165
"-z",33174,33174
"-z",33177,33177
"-z",33178,33178
"-z",33179,33179
"-z",33186,33186
"-z",33196,33196
"-z",33311,33311
"-z",33311,33311
"-z",33326,33326
"-z",33411,33411
"-z",33415,33415
"-z",33426,33426
"-z",33433,33433
"-z",33433,33433
"-z",33437,33437
"-z",33441,33441
"-z",33445,33445
"-z",33445,33445
"-z",33486,33486
"-z",33496,33496
"-z",33510,33510
"-z",33511,33511
"-z",33511,33511
"-z",33521,33521
"-z",33523,33523
"-z",33541,33541
"-z",33543,33543
"-z",33543,33543
"-z",33543,33543
"-z",33549,33549
"-z",33549,33549
"-z",33556,33556
"-z",33558,33558
"-z",33559,33559
"-z",33566,33566
"-z",33578,33578
"-z",33578,33578
"-z",33579,33579
"-z",33579,33579
"-z",33584,33584
"-z",33584,33584
"-z",33610,33610
"-z",33612,33612
"-z",33613,33613
"-z",33613,33613
"-z",33616,33616
"-z",33637,33637
"-z",33637,33637
"-z",33647,33647
"-z",33701,33701
"-z",33756,33756
"-z",33774,33774
"-z",33774,33774
"-z",33778,33778
"-z",33782,33782
"-z",33809,33809
"-z",33810,33810
"-z",33813,33813
"-z",33823,33823
"-z",33897,33897
"-z",33908,33908
"-z",33908,33908
"-z",33909,33909
"-z",33913,33913
"-z",33914,33914
"-z",33918,33918
"-z",33947,33947
"-z",33967,33967
"-z",33982,33982
"-z",33983,33983
"-z",33990,33990
"-z",33990,33990
"-z",34203,34203
"-z",34209,34209
"-z",34232,34232
"-z",34243,34243
"-z",34286,34286
"-z",34287,34287
"-z",34287,34287
"-z",34288,34288
"-z",34293,34293
"-z",34428,34428
"-z",34428,34428
"-z",34429,34429
"-z",34434,34434
"-z",34436,34436
"-z",34470,34470
"-z",34471,34471
"-z",34473,34473
"-z",34473,34473
"-z",34474,34474
"-z",34476,34476
"-z",34488,34488
"-z",34488,34488
"-z",34491,34491
"-z",34608,34608
"-z",34609,34609
"-z",34609,34609
"-z",34613,34613
"-z",34614,34614
"-z",34653,34653
"-z",34655,34655
"-z",34655,34655
"-z",34691,34691
"-z",34698,34698
"-z",34698,34698
"-z",34698,34698
"-z",34736,34736
"-z",34744,34744
"-z",34771,34771
"-z",34771,34771
"-z",34771,34771
"-z",34786,34786
"-z",34952,34952
"-z",34953,34953
"-z",34953,34953
"-z",34953,34953
"-z",35023,35023
"-z",35040,35040
"-z",35055,35055
"-z",35062,35062
"-z",35124,35124
"-z",35160,35160
"-z",35173,35173
"-z",35243,35243
"-z",35453,35453
"-z",35473,35473
"-z",35476,35476
"-z",35490,35490
"-z",35578,35578
"-z",35603,35603
"-z",35630,35630
"-z",35633,35633
"-z",35654,35654
"-z",35661,35661
"-z",35672,35672
"-z",35768,35768
"-z",35769,35769
"-z",35769,35769
"-z",36035,36035
"-z",36078,36078
"-z",36080,36080
"-z",36092,36092
"-z",36117,36117
"-z",36265,36265
"-z",36312,36312
"-z",36340,36340
"-z",36362,36362
"-z",36375,36375
"-z",36535,36535
"-z",36617,36617
"-z",36695,36695
"-z",36695,36695
"-z",36744,36744
"-z",36801,36801
"-z",36863,36863
"-z",36874,36874
"-z",36874,36874
"-z",36877,36877
"-z",37013,37013
"-z",37013,37013
"-z",37013,37013
"-z",37013,37013
"-z",37027,37027
"-z",37030,37030
"-z",37030,37030
"-z",37035,37035
"-z",37036,37036
"-z",37040,37040
"-z",37042,37042
"-z",37043,37043
"-z",37060,37060
"-z",37064,37064
"-z",37067,37067
"-z",37067,37067
"-z",37067,37067
"-z",37079,37079
"-z",37082,37082
"-z",37086,37086
"-z",37086,37086
"-z",37086,37086
"-z",37115,37115
"-z",37122,37122
"-z",37122,37122
"-z",37122,37122
"-z",37122,37122
"-z",37128,37128
"-z",37128,37128
"-z",37128,37128
"-z",37130,37130
"-z",37130,37130
"-z",37135,37135
"-z",37135,37135
"-z",37167,37167
"-z",37167,37167
"-z",37174,37174
"-z",37174,37174
"-z",37174,37174
"-z",37174,37174
"-z",37174,37174
"-z",37174,37174
"-z",37179,37179
"-z",37185,37185
"-z",37203,37203
"-z",37204,37204
"-z",37206,37206
"-z",37207,37207
"-z",37207,37207
"-z",37211,37211
"-z",37211,37211
"-z",37214,37214
"-z",37221,37221
"-z",37312,37312
"-z",37321,37321
"-z",37321,37321
"-z",37323,37323
"-z",37341,37341
"-z",37363,37363
"-z",37377,37377
"-z",37379,37379
"-z",37388,37388
"-z",37398,37398
"-z",37618,37618
"-z",37618,37618
"-z",37641,37641
"-z",37643,37643
"-z",37692,37692
"-z",37716,37716
"-z",37766,37766
"-z",37803,37803
"-z",37813,37813
"-z",37814,37814
"-z",37814,37814
"-z",37849,37849
"-z",37916,37916
"-z",37918,37918
"-z",37924,37924
"-z",37934,37934
"-z",38011,38011
"-z",38016,38016
"-z",38111,38111
"-z",38125,38125
"-z",38334,38334
"-z",38362,38362
"-z",38371,38371
"-z",38382,38382
"-z",38401,38401
"-z",38401,38401
"-z",38401,38401
"-z",38478,38478
"-z",38506,38506
"-z",38544,38544
"-z",38606,38606
"-z",38618,38618
"-z",38652,38652
"-z",38654,38654
"-z",38654,38654
"-z",38680,38680
"-z",38701,38701
"-z",38703,38703
"-z",38703,38703
"-z",38732,38732
"-z",38761,38761
"-z",38841,38841
"-z",39042,39042
"-z",39108,39108
"-z",39183,39183
"-z",39402,39402
"-z",39452,39452
"-z",39455,39455
"-z",39476,39476
"-z",39501,39501
"-z",39503,39503
"-z",39531,39531
"-z",39532,39532
"-z",39532,39532
"-z",39560,39560
"-z",39564,39564
"-z",39564,39564
"-z",39573,39573
"-z",39576,39576
"-z",39581,39581
"-z",39601,39601
"-z",39667,39667
"-z",39705,39705
"-z",39740,39740
"-z",39740,39740
"-z",39836,39836
"-z",40071,40071
"-z",40206,40206
"-z",40217,40217
"-z",40223,40223
"-z",40245,40245
"-z",40245,40245
"-z",40245,40245
"-z",40291,40291
"-z",40311,40311
"-z",40336,40336
"-z",40356,40356
"-z",40422,40422
"-z",40475,40475
"-z",40475,40475
"-z",40503,40503
"-z",40504,40504
"-z",40511,40511
"-z",40741,40741
"-z",40801,40801
"-z",40806,40806
"-z",40831,40831
"-z",40962,40962
"-z",41071,41071
"-z",41139,41139
"-z",41143,41143
"-z",41263,41263
"-z",42101,42101
"-z",42104,42104
"-z",42104,42104
"-z",42134,42134
"-z",42134,42134
"-z",42223,42223
"-z",42240,42240
"-z",42259,42259
"-z",42301,42301
"-z",42303,42303
"-z",42303,42303
"-z",42347,42347
"-z",42376,42376
"-z",42501,42501
"-z",42539,42539
"-z",42629,42629
"-z",42633,42633
"-z",42633,42633
"-z",42754,42754
"-z",42754,42754
"-z",43004,43004
"-z",43004,43004
"-z",43016,43016
"-z",43019,43019
"-z",43050,43050
"-z",43050,43050
"-z",43068,43068
"-z",43068,43068
"-z",43072,43072
"-z",43102,43102
"-z",43123,43123
"-z",43143,43143
"-z",43160,43160
"-z",43315,43315
"-z",43410,43410
"-z",43412,43412
"-z",43413,43413
"-z",43420,43420
"-z",43420,43420
"-z",43449,43449
"-z",43551,43551
"-z",43558,43558
"-z",43558,43558
"-z",43604,43604
"-z",43610,43610
"-z",43701,43701
"-z",43947,43947
"-z",44022,44022
"-z",44032,44032
"-z",44056,44056
"-z",44060,44060
"-z",44060,44060
"-z",44077,44077
"-z",44094,44094
"-z",44111,44111
"-z",44118,44118
"-z",44121,44121
"-z",44124,44124
"-z",44125,44125
"-z",44126,44126
"-z",44129,44129
"-z",44135,44135
"-z",44136,44136
"-z",44138,44138
"-z",44143,44143
"-z",44149,44149
"-z",44212,44212
"-z",44221,44221
"-z",44240,44240
"-z",44240,44240
"-z",44256,44256
"-z",44278,44278
"-z",44281,44281
"-z",44286,44286
"-z",44305,44305
"-z",44310,44310
"-z",44319,44319
"-z",44404,44404
"-z",44406,44406
"-z",44406,44406
"-z",44429,44429
"-z",44484,44484
"-z",44509,44509
"-z",44514,44514
"-z",44612,44612
"-z",44614,44614
"-z",44685,44685
"-z",44705,44705
"-z",44720,44720
"-z",44813,44813
"-z",44890,44890
"-z",44905,44905
"-z",45005,45005
"-z",45103,45103
"-z",45130,45130
"-z",45160,45160
"-z",45224,45224
"-z",45227,45227
"-z",45237,45237
"-z",45242,45242
"-z",45324,45324
"-z",45331,45331
"-z",45338,45338
"-z",45371,45371
"-z",45385,45385
"-z",45410,45410
"-z",45429,45429
"-z",45432,45432
"-z",45440,45440
"-z",45631,45631
"-z",45669,45669
"-z",45714,45714
"-z",45840,45840
"-z",46032,46032
"-z",46032,46032
"-z",46060,46060
"-z",46071,46071
"-z",46111,46111
"-z",46147,46147
"-z",46168,46168
"-z",46204,46204
"-z",46204,46204
"-z",46219,46219
"-z",46228,46228
"-z",46239,46239
"-z",46240,46240
"-z",46304,46304
"-z",46307,46307
"-z",46312,46312
"-z",46319,46319
"-z",46356,46356
"-z",46356,46356
"-z",46360,46360
"-z",46368,46368
"-z",46385,46385
"-z",46404,46404
"-z",46526,46526
"-z",46703,46703
"-z",46706,46706
"-z",46723,46723
"-z",46788,46788
"-z",46804,46804
"-z",46902,46902
"-z",46902,46902
"-z",47031,47031
"-z",47240,47240
"-z",47274,47274
"-z",47304,47304
"-z",47304,47304
"-z",47330,47330
"-z",47367,47367
"-z",47374,47374
"-z",47454,47454
"-z",47714,47714
"-z",47714,47714
"-z",48001,48001
"-z",48005,48005
"-z",48043,48043
"-z",48045,48045
"-z",48054,48054
"-z",48064,48064
"-z",48082,48082
"-z",48084,48084
"-z",48085,48085
"-z",48125,48125
"-z",48127,48127
"-z",48152,48152
"-z",48154,48154
"-z",48154,48154
"-z",48167,48167
"-z",48182,48182
"-z",48183,48183
"-z",48188,48188
"-z",48220,48220
"-z",48309,48309
"-z",48316,48316
"-z",48326,48326
"-z",48346,48346
"-z",48386,48386
"-z",48423,48423
"-z",48432,48432
"-z",48433,48433
"-z",48433,48433
"-z",48463,48463
"-z",48507,48507
"-z",48519,48519
"-z",48610,48610
"-z",48640,48640
"-z",48732,48732
"-z",48734,48734
"-z",48739,48739
"-z",48749,48749
"-z",48764,48764
"-z",48817,48817
"-z",48842,48842
"-z",48846,48846
"-z",48858,48858
"-z",48864,48864
"-z",48875,48875
"-z",48877,48877
"-z",48911,48911
"-z",48912,48912
"-z",49002,49002
"-z",49015,49015
"-z",49017,49017
"-z",49091,49091
"-z",49093,49093
"-z",49286,49286
"-z",49319,49319
"-z",49319,49319
"-z",49330,49330
"-z",49332,49332
"-z",49333,49333
"-z",49345,49345
"-z",49346,49346
"-z",49417,49417
"-z",49417,49417
"-z",49446,49446
"-z",49455,49455
"-z",49457,49457
"-z",49464,49464
"-z",49503,49503
"-z",49506,49506
"-z",49525,49525
"-z",49677,49677
"-z",49746,49746
"-z",49837,49837
"-z",49837,49837
"-z",49837,49837
"-z",49849,49849
"-z",49849,49849
"-z",49858,49858
"-z",49912,49912
"-z",49938,49938
"-z",49946,49946
"-z",50041,50041
"-z",50131,50131
"-z",50138,50138
"-z",50154,50154
"-z",50236,50236
"-z",50266,50266
"-z",50313,50313
"-z",50602,50602
"-z",50613,50613
"-z",50642,50642
"-z",50655,50655
"-z",51503,51503
"-z",52001,52001
"-z",52002,52002
"-z",52031,52031
"-z",52146,52146
"-z",52338,52338
"-z",52402,52402
"-z",52551,52551
"-z",52732,52732
"-z",52742,52742
"-z",52742,52742
"-z",52748,52748
"-z",52749,52749
"-z",52753,52753
"-z",53014,53014
"-z",53027,53027
"-z",53038,53038
"-z",53051,53051
"-z",53092,53092
"-z",53098,53098
"-z",53132,53132
"-z",53132,53132
"-z",53140,53140
"-z",53151,53151
"-z",53151,53151
"-z",53221,53221
"-z",53227,53227
"-z",53525,53525
"-z",53546,53546
"-z",53704,53704
"-z",53711,53711
"-z",54009,54009
"-z",54016,54016
"-z",54020,54020
"-z",54126,54126
"-z",54171,54171
"-z",54247,54247
"-z",54302,54302
"-z",54411,54411
"-z",54412,54412
"-z",54414,54414
"-z",54437,54437
"-z",54449,54449
"-z",54451,54451
"-z",54455,54455
"-z",54462,54462
"-z",54470,54470
"-z",54473,54473
"-z",54482,54482
"-z",54482,54482
"-z",54484,54484
"-z",54489,54489
